"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2004,06,1,01,18,GRANADA,01,,A,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PP                                                ,0000102
07,2004,06,1,01,18,GRANADA,01,,A,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PP                                                ,0000160
07,2004,06,1,01,18,GRANADA,01,,A,PA                                                ,0000006
07,2004,06,1,01,18,GRANADA,01,,A,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PH                                                ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PA                                                ,0000004
07,2004,06,1,01,18,GRANADA,01,,U,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LV-GV                                             ,0000001
07,2004,06,1,01,18,GRANADA,01,,B,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,IULV-CA                                           ,0000011
07,2004,06,1,01,18,GRANADA,01,,B,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PA                                                ,0000002
07,2004,06,1,01,18,GRANADA,01,,A,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,ARALAR                                            ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PSOE                                              ,0000041
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000176
07,2004,06,1,01,18,GRANADA,01,,B,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,02,,A,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,02,,B,PP                                                ,0000187
07,2004,06,1,01,18,GRANADA,02,,A,IULV-CA                                           ,0000024
07,2004,06,1,01,18,GRANADA,02,,A,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,02,,A,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,02,,A,PA                                                ,0000002
07,2004,06,1,01,18,GRANADA,02,,A,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,02,,A,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,02,,B,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,02,,U,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,02,,U,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,02,,U,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,02,,A,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,02,,A,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,02,,B,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,02,,B,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,DN                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,LV-GV                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PSOE                                              ,0000100
07,2004,06,1,01,18,GRANADA,01,,U,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,DN                                                ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LV-GV                                             ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PADE                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PSOE                                              ,0000117
07,2004,06,1,01,18,GRANADA,01,,U,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LV-GV                                             ,0000005
07,2004,06,1,01,18,GRANADA,01,,B,IULV-CA                                           ,0000010
07,2004,06,1,01,18,GRANADA,01,,B,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PSOE                                              ,0000173
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000216
07,2004,06,1,01,18,GRANADA,01,,B,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,IULV-CA                                           ,0000008
07,2004,06,1,01,18,GRANADA,01,,U,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PADE                                              ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,CL                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,P.CANNABIS                                        ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,N.I.V.                                            ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PA                                                ,0000001
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000252
07,2004,06,1,01,18,GRANADA,01,,B,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,A-IZ-PSA-ED                                       ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,PP                                                ,0000235
07,2004,06,1,01,18,GRANADA,01,,A,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PA                                                ,0000003
07,2004,06,1,01,18,GRANADA,01,,B,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000004
07,2004,06,1,01,18,GRANADA,01,,A,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000224
07,2004,06,1,01,18,GRANADA,01,,A,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000010
07,2004,06,1,01,18,GRANADA,01,,A,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PADE                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,FE DE LAS J                                       ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000005
07,2004,06,1,01,18,GRANADA,01,,B,IULV-CA                                           ,0000003
07,2004,06,1,01,18,GRANADA,01,,A,LV-GV                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,P.CANNABIS                                        ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,LV-GV                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PSOE                                              ,0000059
07,2004,06,1,01,18,GRANADA,01,,B,LV-GV                                             ,0000001
07,2004,06,1,01,18,GRANADA,01,,B,ARALAR                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PA                                                ,0000001
07,2004,06,1,01,18,GRANADA,01,,U,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PSOE                                              ,0000068
07,2004,06,1,01,18,GRANADA,01,,B,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,PP                                                ,0000172
07,2004,06,1,01,18,GRANADA,01,,C,POSI                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PUM+J                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PC                                                ,0000000
