"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1994,06,1,01,18,017,01,002 ,A,000017,0000000
07,1994,06,1,01,18,017,01,002 ,B,000027,0000003
07,1994,06,1,01,18,017,01,003 ,A,000009,0000000
07,1994,06,1,01,18,017,01,003 ,A,000014,0000000
07,1994,06,1,01,18,017,01,003 ,A,000032,0000000
07,1994,06,1,01,18,017,01,003 ,A,000033,0000120
07,1994,06,1,01,18,017,01,003 ,A,000034,0000000
07,1994,06,1,01,18,017,01,003 ,B,000017,0000000
07,1994,06,1,01,18,017,01,003 ,B,000032,0000000
07,1994,06,1,01,18,017,01,004 ,U,000010,0000005
07,1994,06,1,01,18,017,01,004 ,U,000012,0000000
07,1994,06,1,01,18,017,01,004 ,U,000019,0000000
07,1994,06,1,01,18,017,01,005 ,A,000016,0000001
07,1994,06,1,01,18,017,01,005 ,B,000008,0000000
07,1994,06,1,01,18,017,01,006 ,B,000015,0000000
07,1994,06,1,01,18,017,01,006 ,B,000027,0000004
07,1994,06,1,01,18,017,01,006 ,B,000031,0000000
07,1994,06,1,01,18,017,01,007 ,A,000018,0000000
07,1994,06,1,01,18,017,01,007 ,A,000036,0000099
07,1994,06,1,01,18,017,01,007 ,B,000038,0000000
07,1994,06,1,01,18,017,01,008 ,U,000037,0000000
07,1994,06,1,01,18,017,02,001 ,A,000013,0000000
07,1994,06,1,01,18,017,02,001 ,A,000025,0000001
07,1994,06,1,01,18,017,02,001 ,B,000019,0000000
07,1994,06,1,01,18,017,03,001 ,U,000027,0000000
07,1994,06,1,01,18,018,01,001 ,U,000002,0000000
07,1994,06,1,01,18,018,01,001 ,U,000008,0000000
07,1994,06,1,01,18,018,01,001 ,U,000030,0000000
07,1994,06,1,01,18,020,01,001 ,A,000035,0000000
07,1994,06,1,01,18,020,01,001 ,B,000014,0000000
07,1994,06,1,01,18,020,01,002 ,U,000007,0000000
07,1994,06,1,01,18,020,01,002 ,U,000008,0000000
07,1994,06,1,01,18,020,01,002 ,U,000013,0000001
07,1994,06,1,01,18,021,01,001 ,U,000009,0000000
07,1994,06,1,01,18,021,01,001 ,U,000033,0000208
07,1994,06,1,01,18,021,01,002 ,U,000001,0000000
07,1994,06,1,01,18,021,01,002 ,U,000006,0000000
07,1994,06,1,01,18,021,01,002 ,U,000016,0000001
07,1994,06,1,01,18,021,01,002 ,U,000036,0000021
07,1994,06,1,01,18,021,01,003 ,U,000034,0000001
07,1994,06,1,01,18,021,01,004 ,B,000002,0000000
07,1994,06,1,01,18,021,01,004 ,B,000014,0000003
07,1994,06,1,01,18,021,01,005 ,A,000006,0000000
07,1994,06,1,01,18,021,01,005 ,A,000008,0000000
07,1994,06,1,01,18,021,01,005 ,A,000019,0000000
07,1994,06,1,01,18,021,01,005 ,A,000032,0000000
07,1994,06,1,01,18,021,01,005 ,A,000038,0000000
07,1994,06,1,01,18,003,01,001 ,A,000001,0000000
07,1994,06,1,01,18,003,01,001 ,B,000009,0000000
07,1994,06,1,01,18,003,01,001 ,B,000019,0000003
07,1994,06,1,01,18,003,01,001 ,B,000025,0000002
07,1994,06,1,01,18,003,01,001 ,B,000035,0000000
07,1994,06,1,01,18,003,01,002 ,A,000008,0000000
07,1994,06,1,01,18,003,01,002 ,A,000019,0000000
07,1994,06,1,01,18,003,01,002 ,A,000020,0000000
07,1994,06,1,01,18,003,01,002 ,A,000038,0000000
07,1994,06,1,01,18,003,01,002 ,B,000038,0000000
07,1994,06,1,01,18,003,01,002 ,C,000026,0000000
07,1994,06,1,01,18,003,01,003 ,B,000017,0000000
07,1994,06,1,01,18,003,01,003 ,B,000027,0000002
07,1994,06,1,01,18,003,01,003 ,B,000029,0000120
07,1994,06,1,01,18,003,01,004 ,A,000007,0000000
07,1994,06,1,01,18,003,01,004 ,B,000005,0000000
07,1994,06,1,01,18,003,01,005 ,A,000032,0000000
07,1994,06,1,01,18,003,01,005 ,A,000045,0000111
07,1994,06,1,01,18,003,01,005 ,B,000006,0000000
07,1994,06,1,01,18,003,01,005 ,B,000037,0000000
07,1994,06,1,01,18,004,01,001 ,A,000002,0000000
07,1994,06,1,01,18,005,01,001 ,U,000007,0000000
07,1994,06,1,01,18,005,01,001 ,U,000015,0000000
07,1994,06,1,01,18,006,01,001 ,A,000018,0000000
07,1994,06,1,01,18,006,01,001 ,B,000015,0000000
07,1994,06,1,01,18,006,01,002 ,U,000005,0000002
07,1994,06,1,01,18,006,01,002 ,U,000010,0000000
07,1994,06,1,01,18,006,02,001 ,A,000007,0000000
07,1994,06,1,01,18,006,02,001 ,A,000023,0000000
07,1994,06,1,01,18,006,02,001 ,B,000010,0000002
07,1994,06,1,01,18,006,02,001 ,B,000012,0000000
07,1994,06,1,01,18,006,02,001 ,B,000023,0000000
07,1994,06,1,01,18,006,03,001 ,U,000009,0000000
07,1994,06,1,01,18,006,03,001 ,U,000023,0000000
07,1994,06,1,01,18,007,01,001 ,A,000005,0000000
07,1994,06,1,01,18,007,01,001 ,B,000010,0000000
07,1994,06,1,01,18,007,01,001 ,B,000039,0000001
07,1994,06,1,01,18,010,01,001 ,U,000009,0000000
07,1994,06,1,01,18,011,01,001 ,A,000023,0000000
07,1994,06,1,01,18,011,01,001 ,A,000025,0000000
07,1994,06,1,01,18,011,01,001 ,A,000026,0000000
07,1994,06,1,01,18,011,01,002 ,U,000012,0000002
07,1994,06,1,01,18,011,01,002 ,U,000019,0000000
07,1994,06,1,01,18,011,01,002 ,U,000037,0000000
07,1994,06,1,01,18,012,01,001 ,U,000035,0000000
07,1994,06,1,01,18,012,01,001 ,U,000037,0000000
07,1994,06,1,01,18,012,01,002 ,U,000010,0000001
07,1994,06,1,01,18,012,01,002 ,U,000016,0000000
07,1994,06,1,01,18,012,01,002 ,U,000025,0000000
07,1994,06,1,01,18,012,01,003 ,U,000025,0000000
07,1994,06,1,01,18,012,01,005 ,A,000032,0000000
07,1994,06,1,01,18,012,01,005 ,A,000033,0000085
07,1994,06,1,01,18,012,01,005 ,B,000019,0000000
07,1994,06,1,01,18,012,01,005 ,B,000030,0000000
07,1994,06,1,01,18,013,01,001 ,U,000006,0000003
07,1994,06,1,01,18,013,01,001 ,U,000013,0000001
07,1994,06,1,01,18,013,01,002 ,U,000020,0000000
07,1994,06,1,01,18,013,01,003 ,U,000045,0000071
07,1994,06,1,01,18,013,01,004 ,U,000005,0000000
07,1994,06,1,01,18,013,01,005 ,U,000002,0000000
07,1994,06,1,01,18,013,01,005 ,U,000009,0000000
07,1994,06,1,01,18,013,01,005 ,U,000014,0000000
07,1994,06,1,01,18,013,01,005 ,U,000026,0000000
07,1994,06,1,01,18,013,01,005 ,U,000027,0000001
07,1994,06,1,01,18,013,01,005 ,U,000034,0000000
07,1994,06,1,01,18,014,01,001 ,A,000012,0000000
07,1994,06,1,01,18,014,01,001 ,A,000038,0000000
07,1994,06,1,01,18,014,01,001 ,B,000020,0000000
07,1994,06,1,01,18,014,01,002 ,A,000008,0000000
07,1994,06,1,01,18,014,01,002 ,A,000023,0000000
07,1994,06,1,01,18,015,01,001 ,U,000025,0000000
07,1994,06,1,01,18,015,01,001 ,U,000026,0000000
07,1994,06,1,01,18,016,01,001 ,U,000017,0000000
07,1994,06,1,01,18,017,01,001 ,B,000018,0000000
07,1994,06,1,01,18,017,01,001 ,B,000023,0000000
07,1994,06,1,01,18,017,01,002 ,A,000006,0000000
07,1994,06,1,01,18,017,01,003 ,A,000007,0000000
07,1994,06,1,01,18,017,01,004 ,U,000031,0000000
07,1994,06,1,01,18,017,01,004 ,U,000036,0000176
07,1994,06,1,01,18,017,01,005 ,A,000001,0000000
07,1994,06,1,01,18,017,01,005 ,A,000018,0000000
07,1994,06,1,01,18,017,01,005 ,A,000026,0000000
07,1994,06,1,01,18,017,01,005 ,B,000014,0000001
07,1994,06,1,01,18,017,01,005 ,B,000016,0000000
07,1994,06,1,01,18,017,01,005 ,B,000017,0000001
07,1994,06,1,01,18,017,01,005 ,B,000023,0000000
07,1994,06,1,01,18,017,01,005 ,B,000029,0000188
07,1994,06,1,01,18,017,01,005 ,B,000033,0000183
07,1994,06,1,01,18,017,01,006 ,A,000020,0000000
07,1994,06,1,01,18,017,01,006 ,A,000025,0000000
07,1994,06,1,01,18,017,01,006 ,A,000026,0000000
07,1994,06,1,01,18,017,01,006 ,B,000016,0000000
07,1994,06,1,01,18,017,01,007 ,A,000016,0000000
07,1994,06,1,01,18,017,01,007 ,B,000032,0000000
07,1994,06,1,01,18,017,01,008 ,U,000007,0000000
07,1994,06,1,01,18,017,01,008 ,U,000026,0000000
07,1994,06,1,01,18,017,01,008 ,U,000030,0000000
07,1994,06,1,01,18,017,02,001 ,A,000036,0000055
07,1994,06,1,01,18,017,02,001 ,B,000010,0000007
07,1994,06,1,01,18,017,02,001 ,B,000018,0000001
07,1994,06,1,01,18,017,01,007 ,A,000035,0000000
07,1994,06,1,01,18,017,01,007 ,B,000019,0000000
07,1994,06,1,01,18,017,01,007 ,B,000034,0000000
07,1994,06,1,01,18,017,01,008 ,U,000006,0000000
07,1994,06,1,01,18,017,01,008 ,U,000016,0000000
07,1994,06,1,01,18,017,01,008 ,U,000039,0000000
07,1994,06,1,01,18,017,02,001 ,A,000006,0000000
07,1994,06,1,01,18,017,02,001 ,A,000008,0000000
07,1994,06,1,01,18,017,02,001 ,A,000030,0000000
07,1994,06,1,01,18,017,02,001 ,A,000031,0000001
07,1994,06,1,01,18,017,02,001 ,B,000001,0000000
07,1994,06,1,01,18,017,02,001 ,B,000008,0000000
07,1994,06,1,01,18,017,02,001 ,B,000017,0000000
07,1994,06,1,01,18,017,02,001 ,B,000038,0000000
07,1994,06,1,01,18,017,02,001 ,B,000045,0000083
07,1994,06,1,01,18,017,03,001 ,U,000015,0000000
07,1994,06,1,01,18,017,03,001 ,U,000032,0000000
07,1994,06,1,01,18,018,01,001 ,U,000001,0000000
07,1994,06,1,01,18,020,01,001 ,A,000005,0000000
07,1994,06,1,01,18,020,01,001 ,A,000010,0000000
07,1994,06,1,01,18,020,01,001 ,A,000026,0000000
07,1994,06,1,01,18,020,01,001 ,B,000020,0000000
07,1994,06,1,01,18,020,01,002 ,U,000027,0000000
07,1994,06,1,01,18,021,01,002 ,U,000018,0000000
07,1994,06,1,01,18,021,01,002 ,U,000027,0000002
07,1994,06,1,01,18,021,01,002 ,U,000039,0000002
07,1994,06,1,01,18,021,01,003 ,U,000012,0000002
07,1994,06,1,01,18,021,01,003 ,U,000013,0000000
07,1994,06,1,01,18,021,01,003 ,U,000038,0000000
07,1994,06,1,01,18,021,01,004 ,A,000006,0000000
07,1994,06,1,01,18,021,01,004 ,B,000007,0000000
07,1994,06,1,01,18,021,01,004 ,B,000009,0000000
07,1994,06,1,01,18,021,01,004 ,B,000010,0000002
07,1994,06,1,01,18,021,01,004 ,B,000037,0000000
07,1994,06,1,01,18,021,01,005 ,A,000029,0000160
07,1994,06,1,01,18,021,01,005 ,B,000002,0000000
07,1994,06,1,01,18,021,01,005 ,B,000010,0000001
07,1994,06,1,01,18,021,01,005 ,B,000036,0000015
07,1994,06,1,01,18,021,01,006 ,U,000009,0000000
07,1994,06,1,01,18,021,01,006 ,U,000010,0000000
07,1994,06,1,01,18,021,01,007 ,U,000007,0000000
07,1994,06,1,01,18,021,01,007 ,U,000010,0000001
07,1994,06,1,01,18,021,01,007 ,U,000034,0000000
07,1994,06,1,01,18,021,01,008 ,U,000013,0000000
07,1994,06,1,01,18,021,01,008 ,U,000017,0000000
07,1994,06,1,01,18,022,01,001 ,A,000001,0000000
07,1994,06,1,01,18,022,01,001 ,A,000038,0000000
07,1994,06,1,01,18,022,01,001 ,B,000037,0000000
07,1994,06,1,01,18,022,01,002 ,A,000015,0000000
07,1994,06,1,01,18,022,01,002 ,A,000017,0000000
07,1994,06,1,01,18,006,02,001 ,A,000033,0000412
07,1994,06,1,01,18,006,02,001 ,B,000015,0000000
07,1994,06,1,01,18,006,02,001 ,B,000018,0000001
07,1994,06,1,01,18,006,02,001 ,B,000025,0000000
07,1994,06,1,01,18,006,02,001 ,B,000027,0000000
07,1994,06,1,01,18,006,02,001 ,B,000035,0000000
07,1994,06,1,01,18,006,03,001 ,U,000037,0000000
07,1994,06,1,01,18,007,01,001 ,A,000008,0000000
07,1994,06,1,01,18,007,01,001 ,A,000013,0000000
07,1994,06,1,01,18,007,01,001 ,A,000029,0000081
07,1994,06,1,01,18,007,01,001 ,A,000033,0000258
07,1994,06,1,01,18,007,01,001 ,B,000006,0000000
07,1994,06,1,01,18,007,01,001 ,B,000007,0000000
07,1994,06,1,01,18,010,01,001 ,U,000005,0000001
07,1994,06,1,01,18,011,01,001 ,A,000013,0000000
07,1994,06,1,01,18,011,01,001 ,A,000037,0000002
07,1994,06,1,01,18,011,01,001 ,B,000015,0000000
07,1994,06,1,01,18,011,01,001 ,B,000026,0000000
07,1994,06,1,01,18,011,01,001 ,B,000029,0000327
07,1994,06,1,01,18,011,01,001 ,B,000037,0000000
07,1994,06,1,01,18,011,01,002 ,U,000009,0000000
07,1994,06,1,01,18,011,01,002 ,U,000032,0000000
07,1994,06,1,01,18,012,01,001 ,U,000018,0000000
07,1994,06,1,01,18,012,01,002 ,U,000005,0000000
07,1994,06,1,01,18,012,01,002 ,U,000039,0000000
07,1994,06,1,01,18,012,01,003 ,U,000018,0000000
07,1994,06,1,01,18,012,01,003 ,U,000038,0000000
07,1994,06,1,01,18,012,01,004 ,B,000018,0000000
07,1994,06,1,01,18,012,01,004 ,B,000031,0000000
07,1994,06,1,01,18,012,01,005 ,A,000007,0000000
07,1994,06,1,01,18,012,01,005 ,B,000005,0000000
07,1994,06,1,01,18,012,01,005 ,B,000010,0000001
07,1994,06,1,01,18,012,01,005 ,B,000013,0000000
07,1994,06,1,01,18,013,01,001 ,U,000001,0000000
07,1994,06,1,01,18,013,01,001 ,U,000018,0000000
07,1994,06,1,01,18,013,01,001 ,U,000037,0000000
07,1994,06,1,01,18,013,01,001 ,U,000045,0000079
07,1994,06,1,01,18,013,01,002 ,U,000012,0000000
07,1994,06,1,01,18,013,01,004 ,U,000001,0000000
07,1994,06,1,01,18,013,01,004 ,U,000023,0000000
07,1994,06,1,01,18,013,01,005 ,U,000019,0000000
07,1994,06,1,01,18,013,01,005 ,U,000030,0000001
07,1994,06,1,01,18,013,01,005 ,U,000033,0000250
07,1994,06,1,01,18,014,01,001 ,A,000031,0000000
07,1994,06,1,01,18,014,01,001 ,B,000036,0000017
07,1994,06,1,01,18,014,01,002 ,A,000031,0000000
07,1994,06,1,01,18,014,01,002 ,A,000038,0000000
07,1994,06,1,01,18,015,01,001 ,U,000023,0000001
07,1994,06,1,01,18,015,01,001 ,U,000030,0000000
07,1994,06,1,01,18,015,01,001 ,U,000032,0000000
07,1994,06,1,01,18,010,01,001 ,U,000008,0000000
07,1994,06,1,01,18,010,01,001 ,U,000023,0000000
07,1994,06,1,01,18,010,01,001 ,U,000026,0000000
07,1994,06,1,01,18,010,01,001 ,U,000037,0000001
07,1994,06,1,01,18,011,01,001 ,A,000009,0000000
07,1994,06,1,01,18,011,01,001 ,A,000018,0000001
07,1994,06,1,01,18,011,01,001 ,A,000019,0000000
07,1994,06,1,01,18,011,01,001 ,A,000020,0000000
07,1994,06,1,01,18,011,01,001 ,B,000025,0000001
07,1994,06,1,01,18,011,01,001 ,B,000036,0000024
07,1994,06,1,01,18,011,01,002 ,U,000015,0000000
07,1994,06,1,01,18,012,01,001 ,U,000002,0000000
07,1994,06,1,01,18,012,01,001 ,U,000038,0000000
07,1994,06,1,01,18,012,01,002 ,U,000012,0000000
07,1994,06,1,01,18,012,01,004 ,A,000018,0000000
07,1994,06,1,01,18,012,01,004 ,B,000026,0000000
07,1994,06,1,01,18,012,01,004 ,B,000036,0000001
07,1994,06,1,01,18,012,01,005 ,A,000008,0000000
07,1994,06,1,01,18,012,01,005 ,A,000020,0000000
07,1994,06,1,01,18,012,01,005 ,A,000027,0000002
07,1994,06,1,01,18,012,01,005 ,A,000029,0000043
07,1994,06,1,01,18,012,01,005 ,A,000045,0000003
07,1994,06,1,01,18,012,01,005 ,B,000001,0000000
07,1994,06,1,01,18,012,01,005 ,B,000039,0000000
07,1994,06,1,01,18,013,01,001 ,U,000025,0000001
07,1994,06,1,01,18,013,01,001 ,U,000026,0000000
07,1994,06,1,01,18,013,01,001 ,U,000034,0000001
07,1994,06,1,01,18,013,01,002 ,U,000014,0000000
07,1994,06,1,01,18,013,01,003 ,U,000006,0000004
07,1994,06,1,01,18,013,01,003 ,U,000039,0000000
07,1994,06,1,01,18,013,01,004 ,U,000012,0000000
07,1994,06,1,01,18,013,01,004 ,U,000013,0000000
07,1994,06,1,01,18,013,01,004 ,U,000037,0000000
07,1994,06,1,01,18,013,01,005 ,U,000006,0000000
07,1994,06,1,01,18,013,01,005 ,U,000008,0000000
07,1994,06,1,01,18,013,01,005 ,U,000023,0000000
07,1994,06,1,01,18,013,01,005 ,U,000036,0000009
07,1994,06,1,01,18,014,01,001 ,A,000035,0000000
07,1994,06,1,01,18,014,01,001 ,B,000017,0000000
07,1994,06,1,01,18,014,01,001 ,B,000030,0000000
07,1994,06,1,01,18,016,01,001 ,U,000012,0000000
07,1994,06,1,01,18,016,01,001 ,U,000027,0000000
07,1994,06,1,01,18,017,01,001 ,A,000010,0000003
07,1994,06,1,01,18,017,01,001 ,A,000035,0000000
07,1994,06,1,01,18,017,01,001 ,B,000005,0000000
07,1994,06,1,01,18,017,01,001 ,B,000026,0000000
07,1994,06,1,01,18,017,01,002 ,A,000029,0000221
07,1994,06,1,01,18,017,01,002 ,B,000013,0000000
07,1994,06,1,01,18,017,01,003 ,A,000008,0000000
07,1994,06,1,01,18,011,01,002 ,U,000038,0000000
07,1994,06,1,01,18,012,01,001 ,U,000008,0000000
07,1994,06,1,01,18,012,01,002 ,U,000006,0000000
07,1994,06,1,01,18,012,01,002 ,U,000036,0000002
07,1994,06,1,01,18,012,01,002 ,U,000038,0000000
07,1994,06,1,01,18,012,01,003 ,U,000019,0000000
07,1994,06,1,01,18,012,01,003 ,U,000033,0000184
07,1994,06,1,01,18,012,01,003 ,U,000045,0000008
07,1994,06,1,01,18,012,01,004 ,A,000006,0000000
07,1994,06,1,01,18,012,01,004 ,A,000027,0000001
07,1994,06,1,01,18,012,01,004 ,A,000036,0000003
07,1994,06,1,01,18,012,01,004 ,B,000007,0000000
07,1994,06,1,01,18,012,01,004 ,B,000014,0000000
07,1994,06,1,01,18,012,01,005 ,A,000017,0000000
07,1994,06,1,01,18,012,01,005 ,A,000026,0000000
07,1994,06,1,01,18,012,01,005 ,B,000014,0000000
07,1994,06,1,01,18,012,01,005 ,B,000027,0000000
07,1994,06,1,01,18,012,01,005 ,B,000036,0000000
07,1994,06,1,01,18,013,01,001 ,U,000036,0000036
07,1994,06,1,01,18,013,01,002 ,U,000006,0000007
07,1994,06,1,01,18,013,01,002 ,U,000026,0000001
07,1994,06,1,01,18,013,01,002 ,U,000037,0000000
07,1994,06,1,01,18,013,01,003 ,U,000014,0000003
07,1994,06,1,01,18,013,01,003 ,U,000015,0000000
07,1994,06,1,01,18,013,01,004 ,U,000018,0000000
07,1994,06,1,01,18,013,01,004 ,U,000031,0000000
07,1994,06,1,01,18,013,01,004 ,U,000036,0000046
07,1994,06,1,01,18,013,01,005 ,U,000012,0000005
07,1994,06,1,01,18,013,01,005 ,U,000029,0000206
07,1994,06,1,01,18,013,01,005 ,U,000038,0000000
07,1994,06,1,01,18,014,01,001 ,A,000002,0000000
07,1994,06,1,01,18,014,01,001 ,A,000005,0000000
07,1994,06,1,01,18,014,01,001 ,A,000036,0000007
07,1994,06,1,01,18,014,01,001 ,B,000033,0000275
07,1994,06,1,01,18,014,01,001 ,B,000035,0000001
07,1994,06,1,01,18,014,01,001 ,B,000039,0000000
07,1994,06,1,01,18,014,01,002 ,A,000016,0000002
07,1994,06,1,01,18,014,01,002 ,A,000045,0000049
07,1994,06,1,01,18,014,01,002 ,B,000032,0000000
07,1994,06,1,01,18,015,01,001 ,U,000015,0000000
07,1994,06,1,01,18,017,01,001 ,A,000029,0000320
07,1994,06,1,01,18,017,01,001 ,B,000006,0000000
07,1994,06,1,01,18,017,01,001 ,B,000029,0000361
07,1994,06,1,01,18,017,01,001 ,B,000031,0000000
07,1994,06,1,01,18,017,01,001 ,B,000045,0000085
07,1994,06,1,01,18,017,01,002 ,A,000012,0000000
07,1994,06,1,01,18,017,01,002 ,A,000019,0000000
07,1994,06,1,01,18,017,01,002 ,A,000023,0000000
07,1994,06,1,01,18,017,01,002 ,B,000009,0000000
07,1994,06,1,01,18,017,01,002 ,B,000015,0000000
07,1994,06,1,01,18,021,01,005 ,B,000016,0000000
07,1994,06,1,01,18,021,01,006 ,U,000035,0000001
07,1994,06,1,01,18,021,01,007 ,U,000013,0000000
07,1994,06,1,01,18,021,01,007 ,U,000023,0000000
07,1994,06,1,01,18,021,01,008 ,U,000010,0000000
07,1994,06,1,01,18,021,01,008 ,U,000032,0000000
07,1994,06,1,01,18,021,01,008 ,U,000045,0000081
07,1994,06,1,01,18,022,01,001 ,A,000002,0000000
07,1994,06,1,01,18,022,01,001 ,A,000006,0000000
07,1994,06,1,01,18,022,01,001 ,A,000045,0000137
07,1994,06,1,01,18,022,01,001 ,B,000008,0000000
07,1994,06,1,01,18,022,01,001 ,B,000009,0000000
07,1994,06,1,01,18,022,01,001 ,B,000033,0000324
07,1994,06,1,01,18,022,01,002 ,A,000010,0000001
07,1994,06,1,01,18,022,01,002 ,A,000020,0000000
07,1994,06,1,01,18,022,01,002 ,A,000036,0000012
07,1994,06,1,01,18,022,01,003 ,U,000006,0000000
07,1994,06,1,01,18,022,01,003 ,U,000013,0000000
07,1994,06,1,01,18,022,01,003 ,U,000025,0000011
07,1994,06,1,01,18,022,01,004 ,A,000032,0000000
07,1994,06,1,01,18,022,01,004 ,B,000016,0000000
07,1994,06,1,01,18,022,02,001 ,U,000010,0000004
07,1994,06,1,01,18,022,02,001 ,U,000019,0000000
07,1994,06,1,01,18,022,02,001 ,U,000020,0000000
07,1994,06,1,01,18,022,02,001 ,U,000034,0000001
07,1994,06,1,01,18,022,02,001 ,U,000039,0000001
07,1994,06,1,01,18,022,02,002 ,U,000007,0000000
07,1994,06,1,01,18,022,02,002 ,U,000015,0000000
07,1994,06,1,01,18,022,02,002 ,U,000020,0000000
07,1994,06,1,01,18,023,01,001 ,A,000012,0000000
07,1994,06,1,01,18,023,01,001 ,A,000038,0000000
07,1994,06,1,01,18,023,01,001 ,B,000006,0000000
07,1994,06,1,01,18,023,01,001 ,B,000039,0000000
07,1994,06,1,01,18,023,01,002 ,A,000029,0000144
07,1994,06,1,01,18,023,01,002 ,B,000036,0000013
07,1994,06,1,01,18,023,01,002 ,B,000045,0000048
07,1994,06,1,01,18,023,01,003 ,A,000038,0000000
07,1994,06,1,01,18,023,01,003 ,B,000008,0000000
07,1994,06,1,01,18,023,01,004 ,U,000039,0000000
07,1994,06,1,01,18,023,01,005 ,U,000010,0000003
07,1994,06,1,01,18,023,01,005 ,U,000019,0000002
07,1994,06,1,01,18,023,01,005 ,U,000035,0000000
07,1994,06,1,01,18,023,02,001 ,A,000005,0000000
07,1994,06,1,01,18,023,02,001 ,A,000014,0000001
07,1994,06,1,01,18,023,02,001 ,A,000019,0000002
07,1994,06,1,01,18,023,02,002 ,A,000014,0000000
07,1994,06,1,01,18,023,02,002 ,A,000034,0000004
07,1994,06,1,01,18,023,02,002 ,C,000033,0000071
07,1994,06,1,01,18,023,02,003 ,U,000020,0000000
07,1994,06,1,01,18,012,01,003 ,U,000026,0000000
07,1994,06,1,01,18,012,01,004 ,B,000006,0000000
07,1994,06,1,01,18,012,01,004 ,B,000010,0000000
07,1994,06,1,01,18,012,01,004 ,B,000019,0000000
07,1994,06,1,01,18,012,01,004 ,B,000023,0000000
07,1994,06,1,01,18,012,01,005 ,A,000010,0000000
07,1994,06,1,01,18,012,01,005 ,A,000031,0000000
07,1994,06,1,01,18,012,01,005 ,B,000009,0000000
07,1994,06,1,01,18,012,01,005 ,B,000015,0000000
07,1994,06,1,01,18,012,01,005 ,B,000025,0000000
07,1994,06,1,01,18,012,01,005 ,B,000037,0000000
07,1994,06,1,01,18,013,01,002 ,U,000016,0000000
07,1994,06,1,01,18,013,01,004 ,U,000007,0000000
07,1994,06,1,01,18,013,01,004 ,U,000019,0000002
07,1994,06,1,01,18,013,01,005 ,U,000007,0000000
07,1994,06,1,01,18,013,01,005 ,U,000025,0000000
07,1994,06,1,01,18,014,01,001 ,A,000008,0000000
07,1994,06,1,01,18,014,01,001 ,A,000010,0000003
07,1994,06,1,01,18,014,01,001 ,A,000019,0000001
07,1994,06,1,01,18,014,01,002 ,A,000015,0000000
07,1994,06,1,01,18,014,01,002 ,A,000030,0000000
07,1994,06,1,01,18,014,01,002 ,B,000030,0000000
07,1994,06,1,01,18,014,01,002 ,B,000037,0000000
07,1994,06,1,01,18,014,01,002 ,B,000039,0000000
07,1994,06,1,01,18,016,01,001 ,U,000005,0000000
07,1994,06,1,01,18,016,01,001 ,U,000015,0000000
07,1994,06,1,01,18,016,01,001 ,U,000029,0000125
07,1994,06,1,01,18,017,01,001 ,A,000016,0000000
07,1994,06,1,01,18,017,01,001 ,A,000023,0000000
07,1994,06,1,01,18,017,01,001 ,B,000027,0000004
07,1994,06,1,01,18,017,01,002 ,A,000008,0000000
07,1994,06,1,01,18,017,01,002 ,B,000008,0000000
07,1994,06,1,01,18,017,01,003 ,A,000013,0000000
07,1994,06,1,01,18,017,01,003 ,A,000018,0000000
07,1994,06,1,01,18,017,01,003 ,A,000019,0000000
07,1994,06,1,01,18,017,01,003 ,A,000036,0000148
07,1994,06,1,01,18,017,01,003 ,B,000034,0000000
07,1994,06,1,01,18,017,01,004 ,U,000006,0000000
07,1994,06,1,01,18,017,01,004 ,U,000009,0000001
07,1994,06,1,01,18,017,01,004 ,U,000017,0000000
07,1994,06,1,01,18,017,01,005 ,A,000007,0000000
07,1994,06,1,01,18,017,01,005 ,A,000029,0000149
07,1994,06,1,01,18,017,01,005 ,A,000039,0000000
07,1994,06,1,01,18,017,01,005 ,B,000009,0000000
07,1994,06,1,01,18,017,01,005 ,B,000027,0000002
07,1994,06,1,01,18,017,01,005 ,B,000037,0000000
07,1994,06,1,01,18,017,01,006 ,A,000006,0000000
07,1994,06,1,01,18,017,01,006 ,A,000008,0000000
07,1994,06,1,01,18,017,01,006 ,A,000035,0000000
07,1994,06,1,01,18,017,02,001 ,B,000026,0000000
07,1994,06,1,01,18,018,01,001 ,U,000017,0000000
07,1994,06,1,01,18,020,01,001 ,A,000012,0000000
07,1994,06,1,01,18,020,01,001 ,A,000023,0000000
07,1994,06,1,01,18,020,01,001 ,A,000031,0000000
07,1994,06,1,01,18,020,01,001 ,B,000008,0000000
07,1994,06,1,01,18,020,01,001 ,B,000034,0000000
07,1994,06,1,01,18,020,01,001 ,B,000039,0000000
07,1994,06,1,01,18,020,01,002 ,U,000001,0000000
