"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1999,06,1,01,18,017,01,001 ,B,000153,0000000
07,1999,06,1,01,18,017,01,002 ,A,000008,0000000
07,1999,06,1,01,18,017,01,002 ,A,000125,0000000
07,1999,06,1,01,18,017,01,002 ,A,000132,0000113
07,1999,06,1,01,18,017,01,002 ,A,000148,0000000
07,1999,06,1,01,18,017,01,002 ,B,000121,0000000
07,1999,06,1,01,18,017,01,002 ,B,000154,0000000
07,1999,06,1,01,18,017,01,003 ,A,000032,0000000
07,1999,06,1,01,18,017,01,003 ,B,000144,0000000
07,1999,06,1,01,18,017,01,003 ,C,000001,0000079
07,1999,06,1,01,18,017,01,003 ,C,000130,0000000
07,1999,06,1,01,18,017,01,003 ,C,000136,0000000
07,1999,06,1,01,18,017,01,003 ,C,000149,0000000
07,1999,06,1,01,18,017,01,004 ,B,000151,0000001
07,1999,06,1,01,18,017,01,005 ,A,000019,0000075
07,1999,06,1,01,18,017,01,005 ,B,000043,0000000
07,1999,06,1,01,18,017,01,005 ,B,000125,0000000
07,1999,06,1,01,18,017,01,005 ,B,000855,0000029
07,1999,06,1,01,18,017,01,006 ,B,000019,0000077
07,1999,06,1,01,18,017,01,006 ,B,000127,0000000
07,1999,06,1,01,18,017,01,006 ,C,000007,0000000
07,1999,06,1,01,18,017,01,006 ,C,000129,0000000
07,1999,06,1,01,18,017,01,006 ,C,000130,0000000
07,1999,06,1,01,18,017,01,006 ,C,000158,0000000
07,1999,06,1,01,18,017,01,007 ,A,000008,0000000
07,1999,06,1,01,18,017,01,007 ,A,000855,0000013
07,1999,06,1,01,18,017,01,007 ,B,000015,0000000
07,1999,06,1,01,18,017,01,007 ,B,000132,0000117
07,1999,06,1,01,18,017,01,007 ,B,000153,0000001
07,1999,06,1,01,18,017,01,008 ,U,000004,0000000
07,1999,06,1,01,18,017,01,008 ,U,000043,0000000
07,1999,06,1,01,18,017,01,008 ,U,000123,0000000
07,1999,06,1,01,18,017,01,008 ,U,000136,0000000
07,1999,06,1,01,18,017,01,008 ,U,000855,0000034
07,1999,06,1,01,18,017,01,009 ,B,000125,0000000
07,1999,06,1,01,18,017,01,010 ,U,000145,0000000
07,1999,06,1,01,18,017,02,001 ,A,000001,0000164
07,1999,06,1,01,18,017,02,001 ,A,000019,0000138
07,1999,06,1,01,18,017,02,001 ,A,000120,0000001
07,1999,06,1,01,18,017,02,001 ,B,000120,0000000
07,1999,06,1,01,18,017,02,001 ,B,000125,0000001
07,1999,06,1,01,18,017,02,001 ,B,000132,0000078
07,1999,06,1,01,18,017,02,001 ,B,000150,0000000
07,1999,06,1,01,18,017,02,002 ,U,000014,0000001
07,1999,06,1,01,18,017,02,002 ,U,000157,0000000
07,1999,06,1,01,18,017,03,001 ,A,000121,0000000
07,1999,06,1,01,18,017,03,001 ,A,000157,0000001
07,1999,06,1,01,18,013,01,004 ,A,000019,0000180
07,1999,06,1,01,18,013,01,004 ,A,000145,0000002
07,1999,06,1,01,18,013,01,004 ,B,000855,0000048
07,1999,06,1,01,18,013,01,005 ,U,000019,0000325
07,1999,06,1,01,18,014,01,001 ,A,000019,0000213
07,1999,06,1,01,18,014,01,001 ,A,000043,0000000
07,1999,06,1,01,18,014,01,001 ,A,000149,0000000
07,1999,06,1,01,18,014,01,001 ,A,000154,0000000
07,1999,06,1,01,18,014,01,001 ,B,000145,0000000
07,1999,06,1,01,18,014,01,001 ,B,000156,0000000
07,1999,06,1,01,18,014,01,001 ,B,000157,0000001
07,1999,06,1,01,18,014,01,001 ,C,000007,0000000
07,1999,06,1,01,18,014,01,001 ,C,000043,0000000
07,1999,06,1,01,18,014,01,002 ,C,000008,0000000
07,1999,06,1,01,18,014,01,002 ,C,000127,0000000
07,1999,06,1,01,18,014,01,002 ,C,000128,0000002
07,1999,06,1,01,18,014,01,002 ,C,000132,0000007
07,1999,06,1,01,18,015,01,001 ,U,000125,0000000
07,1999,06,1,01,18,015,01,001 ,U,000153,0000000
07,1999,06,1,01,18,016,01,001 ,U,000125,0000000
07,1999,06,1,01,18,016,01,001 ,U,000136,0000000
07,1999,06,1,01,18,017,01,001 ,A,000027,0000000
07,1999,06,1,01,18,017,01,001 ,A,000148,0000000
07,1999,06,1,01,18,017,01,001 ,B,000008,0000000
07,1999,06,1,01,18,017,01,001 ,B,000148,0000000
07,1999,06,1,01,18,017,01,002 ,A,000121,0000001
07,1999,06,1,01,18,017,01,002 ,A,000135,0000000
07,1999,06,1,01,18,017,01,002 ,A,000150,0000000
07,1999,06,1,01,18,017,01,002 ,A,000855,0000030
07,1999,06,1,01,18,017,01,002 ,B,000132,0000150
07,1999,06,1,01,18,017,01,002 ,B,000145,0000000
07,1999,06,1,01,18,017,01,002 ,B,000156,0000000
07,1999,06,1,01,18,017,01,003 ,A,000014,0000000
07,1999,06,1,01,18,017,01,003 ,A,000027,0000000
07,1999,06,1,01,18,017,01,003 ,A,000144,0000000
07,1999,06,1,01,18,017,01,003 ,B,000121,0000000
07,1999,06,1,01,18,017,01,003 ,B,000855,0000013
07,1999,06,1,01,18,017,01,003 ,C,000123,0000000
07,1999,06,1,01,18,017,01,004 ,A,000032,0000001
07,1999,06,1,01,18,017,01,004 ,A,000121,0000000
07,1999,06,1,01,18,017,01,004 ,A,000144,0000000
07,1999,06,1,01,18,017,01,004 ,A,000152,0000001
07,1999,06,1,01,18,017,01,004 ,A,000156,0000000
07,1999,06,1,01,18,017,01,004 ,B,000007,0000000
07,1999,06,1,01,18,017,01,004 ,B,000014,0000000
07,1999,06,1,01,18,017,01,004 ,B,000038,0000001
07,1999,06,1,01,18,017,01,004 ,B,000128,0000001
07,1999,06,1,01,18,017,01,005 ,A,000128,0000000
07,1999,06,1,01,18,017,01,005 ,B,000001,0000162
07,1999,06,1,01,18,017,01,005 ,B,000132,0000149
07,1999,06,1,01,18,003,01,004 ,A,000156,0000000
07,1999,06,1,01,18,003,01,004 ,B,000027,0000001
07,1999,06,1,01,18,003,01,004 ,B,000116,0000000
07,1999,06,1,01,18,003,01,004 ,B,000149,0000000
07,1999,06,1,01,18,003,01,004 ,C,000120,0000000
07,1999,06,1,01,18,003,01,005 ,A,000158,0000000
07,1999,06,1,01,18,003,01,005 ,B,000015,0000000
07,1999,06,1,01,18,003,01,005 ,B,000120,0000000
07,1999,06,1,01,18,003,01,005 ,B,000150,0000000
07,1999,06,1,01,18,003,01,005 ,B,000158,0000000
07,1999,06,1,01,18,003,01,006 ,A,000007,0000001
07,1999,06,1,01,18,003,01,006 ,A,000032,0000000
07,1999,06,1,01,18,003,01,006 ,A,000125,0000000
07,1999,06,1,01,18,003,01,006 ,A,000153,0000000
07,1999,06,1,01,18,003,01,006 ,B,000127,0000001
07,1999,06,1,01,18,003,01,006 ,B,000132,0000010
07,1999,06,1,01,18,004,01,001 ,A,000027,0000000
07,1999,06,1,01,18,004,01,001 ,A,000043,0000000
07,1999,06,1,01,18,004,01,001 ,A,000123,0000000
07,1999,06,1,01,18,004,01,001 ,A,000125,0000000
07,1999,06,1,01,18,004,01,001 ,A,000149,0000000
07,1999,06,1,01,18,004,01,001 ,A,000855,0000002
07,1999,06,1,01,18,004,01,001 ,B,000007,0000000
07,1999,06,1,01,18,004,01,001 ,B,000015,0000001
07,1999,06,1,01,18,004,01,001 ,B,000144,0000003
07,1999,06,1,01,18,004,01,001 ,B,000149,0000000
07,1999,06,1,01,18,005,01,001 ,U,000121,0000001
07,1999,06,1,01,18,006,01,001 ,A,000014,0000000
07,1999,06,1,01,18,006,01,001 ,A,000015,0000000
07,1999,06,1,01,18,006,01,001 ,A,000136,0000000
07,1999,06,1,01,18,006,01,001 ,A,000144,0000000
07,1999,06,1,01,18,006,01,001 ,B,000132,0000001
07,1999,06,1,01,18,006,01,001 ,B,000157,0000000
07,1999,06,1,01,18,006,01,002 ,U,000008,0000000
07,1999,06,1,01,18,006,01,002 ,U,000032,0000000
07,1999,06,1,01,18,006,02,001 ,A,000116,0000000
07,1999,06,1,01,18,006,02,001 ,A,000130,0000000
07,1999,06,1,01,18,006,02,001 ,A,000135,0000000
07,1999,06,1,01,18,006,02,001 ,A,000136,0000000
07,1999,06,1,01,18,006,02,001 ,A,000154,0000000
07,1999,06,1,01,18,006,02,001 ,B,000032,0000000
07,1999,06,1,01,18,006,02,001 ,B,000151,0000003
07,1999,06,1,01,18,006,02,001 ,C,000135,0000000
07,1999,06,1,01,18,006,02,001 ,C,000148,0000000
07,1999,06,1,01,18,006,03,001 ,U,000007,0000001
07,1999,06,1,01,18,006,03,001 ,U,000145,0000000
07,1999,06,1,01,18,007,01,001 ,A,000135,0000001
07,1999,06,1,01,18,007,01,001 ,B,000120,0000000
07,1999,06,1,01,18,010,01,001 ,U,000120,0000000
07,1999,06,1,01,18,010,01,001 ,U,000130,0000000
07,1999,06,1,01,18,012,01,005 ,A,000038,0000000
07,1999,06,1,01,18,012,01,005 ,B,000116,0000000
07,1999,06,1,01,18,013,01,001 ,U,000127,0000000
07,1999,06,1,01,18,013,01,001 ,U,000129,0000000
07,1999,06,1,01,18,013,01,001 ,U,000136,0000000
07,1999,06,1,01,18,013,01,001 ,U,000156,0000000
07,1999,06,1,01,18,013,01,002 ,U,000144,0000000
07,1999,06,1,01,18,013,01,003 ,U,000001,0000270
07,1999,06,1,01,18,013,01,003 ,U,000127,0000000
07,1999,06,1,01,18,013,01,003 ,U,000135,0000000
07,1999,06,1,01,18,013,01,003 ,U,000158,0000000
07,1999,06,1,01,18,013,01,004 ,B,000130,0000000
07,1999,06,1,01,18,013,01,005 ,U,000004,0000000
07,1999,06,1,01,18,013,01,005 ,U,000125,0000000
07,1999,06,1,01,18,013,01,005 ,U,000156,0000001
07,1999,06,1,01,18,014,01,001 ,B,000125,0000000
07,1999,06,1,01,18,014,01,001 ,B,000153,0000000
07,1999,06,1,01,18,014,01,001 ,C,000153,0000000
07,1999,06,1,01,18,014,01,001 ,C,000855,0000017
07,1999,06,1,01,18,014,01,002 ,A,000014,0000000
07,1999,06,1,01,18,014,01,002 ,A,000027,0000002
07,1999,06,1,01,18,014,01,002 ,A,000116,0000000
07,1999,06,1,01,18,014,01,002 ,A,000144,0000000
07,1999,06,1,01,18,014,01,002 ,A,000145,0000000
07,1999,06,1,01,18,014,01,002 ,B,000125,0000000
07,1999,06,1,01,18,015,01,001 ,U,000004,0000000
07,1999,06,1,01,18,015,01,001 ,U,000156,0000000
07,1999,06,1,01,18,016,01,001 ,U,000128,0000000
07,1999,06,1,01,18,016,01,001 ,U,000145,0000000
07,1999,06,1,01,18,017,01,001 ,A,000855,0000021
07,1999,06,1,01,18,017,01,001 ,B,000144,0000001
07,1999,06,1,01,18,017,01,002 ,A,000015,0000000
07,1999,06,1,01,18,017,01,002 ,A,000027,0000000
07,1999,06,1,01,18,017,01,002 ,A,000043,0000000
07,1999,06,1,01,18,017,01,002 ,A,000145,0000000
07,1999,06,1,01,18,017,01,002 ,B,000015,0000000
07,1999,06,1,01,18,017,01,002 ,B,000127,0000000
07,1999,06,1,01,18,017,01,002 ,B,000149,0000000
07,1999,06,1,01,18,017,01,002 ,B,000150,0000000
07,1999,06,1,01,18,017,01,003 ,A,000150,0000000
07,1999,06,1,01,18,017,01,003 ,A,000154,0000000
07,1999,06,1,01,18,017,01,003 ,B,000136,0000000
07,1999,06,1,01,18,017,01,003 ,B,000145,0000000
07,1999,06,1,01,18,017,01,003 ,C,000043,0000000
07,1999,06,1,01,18,017,01,003 ,C,000132,0000188
07,1999,06,1,01,18,017,01,004 ,A,000135,0000000
07,1999,06,1,01,18,017,01,004 ,A,000150,0000000
07,1999,06,1,01,18,017,01,004 ,B,000015,0000000
07,1999,06,1,01,18,017,01,004 ,B,000120,0000000
07,1999,06,1,01,18,017,01,004 ,B,000150,0000000
07,1999,06,1,01,18,011,01,001 ,C,000145,0000000
07,1999,06,1,01,18,011,01,002 ,A,000136,0000000
07,1999,06,1,01,18,011,01,002 ,A,000150,0000000
07,1999,06,1,01,18,011,01,002 ,B,000148,0000000
07,1999,06,1,01,18,012,01,003 ,U,000007,0000001
07,1999,06,1,01,18,012,01,003 ,U,000014,0000000
07,1999,06,1,01,18,012,01,003 ,U,000019,0000105
07,1999,06,1,01,18,012,01,003 ,U,000152,0000000
07,1999,06,1,01,18,012,01,004 ,A,000123,0000000
07,1999,06,1,01,18,012,01,004 ,A,000136,0000000
07,1999,06,1,01,18,012,01,004 ,A,000157,0000000
07,1999,06,1,01,18,012,01,004 ,A,000158,0000000
07,1999,06,1,01,18,012,01,004 ,B,000027,0000000
07,1999,06,1,01,18,012,01,004 ,B,000145,0000000
07,1999,06,1,01,18,012,01,005 ,A,000019,0000034
07,1999,06,1,01,18,012,01,005 ,A,000150,0000000
07,1999,06,1,01,18,012,01,005 ,B,000027,0000000
07,1999,06,1,01,18,012,01,005 ,B,000032,0000000
07,1999,06,1,01,18,012,01,005 ,B,000038,0000000
07,1999,06,1,01,18,012,01,005 ,B,000123,0000000
07,1999,06,1,01,18,012,01,005 ,B,000135,0000000
07,1999,06,1,01,18,012,01,005 ,B,000144,0000000
07,1999,06,1,01,18,012,01,005 ,B,000156,0000000
07,1999,06,1,01,18,012,01,005 ,B,000157,0000000
07,1999,06,1,01,18,013,01,001 ,U,000015,0000000
07,1999,06,1,01,18,013,01,001 ,U,000116,0000002
07,1999,06,1,01,18,013,01,001 ,U,000130,0000000
07,1999,06,1,01,18,013,01,002 ,U,000038,0000000
07,1999,06,1,01,18,013,01,002 ,U,000128,0000000
07,1999,06,1,01,18,013,01,002 ,U,000145,0000000
07,1999,06,1,01,18,013,01,003 ,U,000129,0000000
07,1999,06,1,01,18,013,01,004 ,B,000019,0000313
07,1999,06,1,01,18,013,01,004 ,B,000125,0000000
07,1999,06,1,01,18,013,01,004 ,B,000128,0000000
07,1999,06,1,01,18,013,01,004 ,B,000129,0000000
07,1999,06,1,01,18,013,01,005 ,U,000015,0000000
07,1999,06,1,01,18,013,01,005 ,U,000027,0000000
07,1999,06,1,01,18,013,01,005 ,U,000135,0000000
07,1999,06,1,01,18,013,01,005 ,U,000153,0000000
07,1999,06,1,01,18,014,01,001 ,A,000156,0000000
07,1999,06,1,01,18,014,01,001 ,A,000855,0000015
07,1999,06,1,01,18,014,01,001 ,B,000128,0000000
07,1999,06,1,01,18,014,01,001 ,C,000116,0000001
07,1999,06,1,01,18,014,01,001 ,C,000129,0000000
07,1999,06,1,01,18,014,01,002 ,A,000043,0000000
07,1999,06,1,01,18,014,01,002 ,B,000158,0000000
07,1999,06,1,01,18,014,01,002 ,B,000855,0000017
07,1999,06,1,01,18,014,01,002 ,C,000158,0000000
07,1999,06,1,01,18,016,01,001 ,U,000130,0000000
07,1999,06,1,01,18,017,01,001 ,A,000004,0000000
07,1999,06,1,01,18,003,01,006 ,B,000038,0000000
07,1999,06,1,01,18,004,01,001 ,A,000014,0000000
07,1999,06,1,01,18,004,01,001 ,B,000004,0000000
07,1999,06,1,01,18,004,01,001 ,B,000130,0000001
07,1999,06,1,01,18,004,01,001 ,B,000855,0000001
07,1999,06,1,01,18,005,01,001 ,U,000158,0000000
07,1999,06,1,01,18,006,01,001 ,A,000027,0000000
07,1999,06,1,01,18,006,01,001 ,B,000128,0000000
07,1999,06,1,01,18,006,01,002 ,U,000038,0000001
07,1999,06,1,01,18,006,02,001 ,A,000125,0000000
07,1999,06,1,01,18,006,02,001 ,B,000004,0000000
07,1999,06,1,01,18,006,02,001 ,B,000130,0000000
07,1999,06,1,01,18,006,02,001 ,B,000136,0000000
07,1999,06,1,01,18,006,02,001 ,B,000148,0000000
07,1999,06,1,01,18,006,02,001 ,C,000007,0000000
07,1999,06,1,01,18,006,02,001 ,C,000014,0000000
07,1999,06,1,01,18,006,02,001 ,C,000130,0000000
07,1999,06,1,01,18,006,02,001 ,C,000153,0000000
07,1999,06,1,01,18,006,02,001 ,C,000855,0000014
07,1999,06,1,01,18,006,03,001 ,U,000116,0000000
07,1999,06,1,01,18,006,03,001 ,U,000136,0000000
07,1999,06,1,01,18,006,03,001 ,U,000144,0000000
07,1999,06,1,01,18,007,01,001 ,A,000043,0000000
07,1999,06,1,01,18,007,01,001 ,B,000001,0000090
07,1999,06,1,01,18,007,01,001 ,B,000128,0000000
07,1999,06,1,01,18,007,01,001 ,B,000157,0000000
07,1999,06,1,01,18,010,01,001 ,U,000153,0000000
07,1999,06,1,01,18,011,01,001 ,A,000152,0000000
07,1999,06,1,01,18,011,01,001 ,A,000156,0000000
07,1999,06,1,01,18,011,01,001 ,B,000128,0000000
07,1999,06,1,01,18,011,01,001 ,B,000132,0000037
07,1999,06,1,01,18,011,01,001 ,B,000149,0000000
07,1999,06,1,01,18,011,01,001 ,C,000027,0000001
07,1999,06,1,01,18,011,01,001 ,C,000149,0000000
07,1999,06,1,01,18,011,01,002 ,B,000008,0000000
07,1999,06,1,01,18,011,01,002 ,B,000038,0000000
07,1999,06,1,01,18,012,01,001 ,U,000145,0000000
07,1999,06,1,01,18,012,01,001 ,U,000150,0000000
07,1999,06,1,01,18,012,01,002 ,U,000015,0000000
07,1999,06,1,01,18,012,01,004 ,A,000008,0000000
07,1999,06,1,01,18,012,01,004 ,A,000149,0000000
07,1999,06,1,01,18,012,01,004 ,B,000014,0000000
07,1999,06,1,01,18,012,01,005 ,A,000004,0000000
07,1999,06,1,01,18,012,01,005 ,A,000120,0000000
07,1999,06,1,01,18,012,01,005 ,A,000157,0000000
07,1999,06,1,01,18,012,01,005 ,B,000148,0000000
07,1999,06,1,01,18,012,01,005 ,B,000152,0000000
07,1999,06,1,01,18,013,01,001 ,U,000014,0000000
07,1999,06,1,01,18,013,01,001 ,U,000027,0000000
07,1999,06,1,01,18,013,01,001 ,U,000038,0000000
07,1999,06,1,01,18,001,01,001 ,U,000027,0000000
07,1999,06,1,01,18,002,01,001 ,U,000004,0000000
07,1999,06,1,01,18,002,01,001 ,U,000038,0000000
07,1999,06,1,01,18,002,01,001 ,U,000130,0000000
07,1999,06,1,01,18,002,01,001 ,U,000135,0000000
07,1999,06,1,01,18,003,01,001 ,A,000128,0000000
07,1999,06,1,01,18,003,01,001 ,A,000148,0000002
07,1999,06,1,01,18,003,01,001 ,A,000156,0000000
07,1999,06,1,01,18,003,01,002 ,A,000855,0000107
07,1999,06,1,01,18,003,01,002 ,B,000149,0000000
07,1999,06,1,01,18,003,01,002 ,B,000156,0000000
07,1999,06,1,01,18,003,01,002 ,C,000032,0000001
07,1999,06,1,01,18,003,01,002 ,C,000129,0000000
07,1999,06,1,01,18,003,01,003 ,B,000130,0000000
07,1999,06,1,01,18,003,01,003 ,B,000145,0000001
07,1999,06,1,01,18,003,01,004 ,B,000004,0000000
07,1999,06,1,01,18,003,01,004 ,B,000032,0000000
07,1999,06,1,01,18,003,01,004 ,B,000043,0000001
07,1999,06,1,01,18,003,01,004 ,B,000855,0000042
07,1999,06,1,01,18,003,01,004 ,C,000127,0000001
07,1999,06,1,01,18,003,01,004 ,C,000144,0000005
07,1999,06,1,01,18,003,01,005 ,A,000004,0000000
07,1999,06,1,01,18,003,01,005 ,A,000008,0000000
07,1999,06,1,01,18,003,01,005 ,A,000038,0000000
07,1999,06,1,01,18,003,01,005 ,A,000149,0000000
07,1999,06,1,01,18,003,01,005 ,B,000135,0000000
07,1999,06,1,01,18,003,01,006 ,A,000149,0000000
07,1999,06,1,01,18,003,01,006 ,B,000001,0000100
07,1999,06,1,01,18,003,01,006 ,B,000032,0000000
07,1999,06,1,01,18,004,01,001 ,B,000008,0000000
07,1999,06,1,01,18,004,01,001 ,B,000038,0000000
07,1999,06,1,01,18,004,01,001 ,B,000153,0000000
07,1999,06,1,01,18,005,01,001 ,U,000008,0000000
07,1999,06,1,01,18,005,01,001 ,U,000043,0000000
07,1999,06,1,01,18,005,01,001 ,U,000125,0000001
07,1999,06,1,01,18,006,01,001 ,A,000120,0000000
07,1999,06,1,01,18,006,01,001 ,A,000153,0000000
07,1999,06,1,01,18,006,01,001 ,B,000116,0000000
07,1999,06,1,01,18,006,01,001 ,B,000127,0000000
07,1999,06,1,01,18,006,01,001 ,B,000144,0000000
07,1999,06,1,01,18,006,01,002 ,U,000007,0000000
07,1999,06,1,01,18,006,01,002 ,U,000014,0000000
07,1999,06,1,01,18,006,01,002 ,U,000151,0000000
07,1999,06,1,01,18,006,01,002 ,U,000153,0000000
07,1999,06,1,01,18,006,02,001 ,A,000144,0000000
07,1999,06,1,01,18,006,02,001 ,A,000152,0000000
07,1999,06,1,01,18,017,03,001 ,B,000043,0000000
07,1999,06,1,01,18,017,03,001 ,B,000127,0000000
07,1999,06,1,01,18,017,03,001 ,B,000128,0000000
07,1999,06,1,01,18,017,03,001 ,B,000158,0000000
07,1999,06,1,01,18,018,01,001 ,U,000132,0000059
07,1999,06,1,01,18,018,01,001 ,U,000151,0000000
07,1999,06,1,01,18,018,01,001 ,U,000156,0000000
07,1999,06,1,01,18,020,01,001 ,A,000027,0000000
07,1999,06,1,01,18,020,01,001 ,A,000158,0000000
07,1999,06,1,01,18,020,01,001 ,B,000123,0000000
07,1999,06,1,01,18,020,01,001 ,B,000128,0000000
07,1999,06,1,01,18,020,01,001 ,B,000136,0000000
07,1999,06,1,01,18,020,01,002 ,U,000027,0000001
07,1999,06,1,01,18,021,01,001 ,A,000121,0000000
07,1999,06,1,01,18,021,01,001 ,A,000135,0000000
07,1999,06,1,01,18,021,01,001 ,A,000855,0000026
07,1999,06,1,01,18,021,01,001 ,B,000132,0000010
07,1999,06,1,01,18,021,01,001 ,B,000135,0000000
07,1999,06,1,01,18,021,01,002 ,A,000008,0000000
07,1999,06,1,01,18,021,01,002 ,A,000121,0000000
07,1999,06,1,01,18,021,01,002 ,A,000148,0000000
07,1999,06,1,01,18,021,01,002 ,B,000043,0000000
07,1999,06,1,01,18,021,01,002 ,B,000132,0000004
07,1999,06,1,01,18,021,01,003 ,A,000157,0000000
07,1999,06,1,01,18,021,01,004 ,A,000123,0000000
07,1999,06,1,01,18,021,01,004 ,A,000149,0000000
07,1999,06,1,01,18,021,01,004 ,A,000154,0000000
07,1999,06,1,01,18,021,01,004 ,B,000038,0000000
07,1999,06,1,01,18,021,01,005 ,A,000027,0000002
07,1999,06,1,01,18,021,01,005 ,A,000121,0000000
07,1999,06,1,01,18,021,01,005 ,A,000151,0000002
07,1999,06,1,01,18,021,01,005 ,C,000128,0000000
07,1999,06,1,01,18,021,01,006 ,B,000130,0000000
07,1999,06,1,01,18,021,01,006 ,B,000132,0000013
07,1999,06,1,01,18,021,01,007 ,A,000015,0000000
07,1999,06,1,01,18,021,01,007 ,A,000019,0000164
07,1999,06,1,01,18,021,01,007 ,A,000136,0000000
07,1999,06,1,01,18,021,01,007 ,A,000153,0000000
07,1999,06,1,01,18,021,01,007 ,B,000027,0000000
07,1999,06,1,01,18,021,01,008 ,A,000121,0000000
07,1999,06,1,01,18,021,01,008 ,A,000149,0000000
07,1999,06,1,01,18,021,01,008 ,B,000129,0000000
07,1999,06,1,01,18,021,01,008 ,B,000148,0000000
07,1999,06,1,01,18,022,01,001 ,A,000153,0000001
07,1999,06,1,01,18,022,01,001 ,B,000149,0000001
07,1999,06,1,01,18,022,01,001 ,B,000152,0000000
07,1999,06,1,01,18,022,01,002 ,A,000132,0000014
07,1999,06,1,01,18,022,01,002 ,A,000135,0000000
07,1999,06,1,01,18,022,01,002 ,B,000116,0000000
07,1999,06,1,01,18,022,01,002 ,B,000128,0000001
07,1999,06,1,01,18,017,01,006 ,A,000004,0000000
07,1999,06,1,01,18,017,01,006 ,A,000032,0000000
07,1999,06,1,01,18,017,01,006 ,B,000008,0000000
07,1999,06,1,01,18,017,01,006 ,B,000149,0000000
07,1999,06,1,01,18,017,01,006 ,C,000015,0000000
07,1999,06,1,01,18,017,01,006 ,C,000151,0000000
07,1999,06,1,01,18,017,01,006 ,C,000153,0000000
07,1999,06,1,01,18,017,01,007 ,A,000128,0000000
07,1999,06,1,01,18,017,01,007 ,B,000130,0000000
07,1999,06,1,01,18,017,01,007 ,B,000157,0000000
07,1999,06,1,01,18,017,01,007 ,B,000855,0000028
07,1999,06,1,01,18,017,01,008 ,U,000132,0000247
07,1999,06,1,01,18,017,01,009 ,A,000120,0000000
07,1999,06,1,01,18,017,01,009 ,B,000015,0000000
07,1999,06,1,01,18,017,01,009 ,B,000027,0000000
07,1999,06,1,01,18,017,01,010 ,U,000043,0000000
07,1999,06,1,01,18,017,02,001 ,A,000004,0000000
07,1999,06,1,01,18,017,02,001 ,A,000007,0000000
07,1999,06,1,01,18,017,02,001 ,A,000116,0000000
07,1999,06,1,01,18,017,02,001 ,A,000128,0000000
07,1999,06,1,01,18,017,02,001 ,A,000144,0000000
07,1999,06,1,01,18,017,02,001 ,A,000150,0000000
07,1999,06,1,01,18,017,02,001 ,B,000135,0000000
07,1999,06,1,01,18,017,02,001 ,B,000149,0000000
07,1999,06,1,01,18,017,02,002 ,U,000008,0000000
07,1999,06,1,01,18,017,02,002 ,U,000019,0000258
07,1999,06,1,01,18,017,02,002 ,U,000038,0000000
07,1999,06,1,01,18,017,03,001 ,A,000144,0000000
07,1999,06,1,01,18,017,03,001 ,B,000125,0000000
07,1999,06,1,01,18,017,03,001 ,B,000154,0000000
07,1999,06,1,01,18,020,01,001 ,A,000038,0000000
07,1999,06,1,01,18,020,01,001 ,A,000120,0000000
07,1999,06,1,01,18,020,01,001 ,A,000156,0000000
07,1999,06,1,01,18,020,01,001 ,B,000149,0000000
07,1999,06,1,01,18,020,01,002 ,U,000043,0000000
07,1999,06,1,01,18,020,01,002 ,U,000154,0000000
07,1999,06,1,01,18,021,01,001 ,A,000001,0000155
07,1999,06,1,01,18,021,01,001 ,A,000116,0000000
07,1999,06,1,01,18,021,01,001 ,B,000032,0000000
07,1999,06,1,01,18,021,01,001 ,B,000157,0000000
07,1999,06,1,01,18,021,01,002 ,A,000014,0000000
07,1999,06,1,01,18,021,01,002 ,A,000128,0000001
07,1999,06,1,01,18,021,01,002 ,A,000153,0000000
07,1999,06,1,01,18,021,01,002 ,A,000158,0000000
07,1999,06,1,01,18,021,01,003 ,A,000001,0000100
07,1999,06,1,01,18,021,01,003 ,A,000008,0000000
07,1999,06,1,01,18,021,01,003 ,A,000123,0000000
07,1999,06,1,01,18,021,01,003 ,A,000151,0000000
07,1999,06,1,01,18,021,01,003 ,B,000038,0000000
07,1999,06,1,01,18,021,01,003 ,B,000136,0000000
07,1999,06,1,01,18,010,01,001 ,U,000132,0000175
07,1999,06,1,01,18,010,01,001 ,U,000135,0000000
07,1999,06,1,01,18,011,01,001 ,A,000116,0000000
07,1999,06,1,01,18,011,01,001 ,B,000855,0000022
07,1999,06,1,01,18,011,01,001 ,C,000014,0000000
07,1999,06,1,01,18,011,01,001 ,C,000019,0000265
07,1999,06,1,01,18,011,01,001 ,C,000032,0000000
07,1999,06,1,01,18,011,01,001 ,C,000129,0000000
07,1999,06,1,01,18,011,01,001 ,C,000135,0000000
07,1999,06,1,01,18,011,01,001 ,C,000157,0000002
